SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
PLZL,TQBR,Полюс,12614.5,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Полюс ПАО ао,,FNDT,EQIN,,0.5,12779.5,SUR,2024-08-22,136069400,RU000A0JNAA8,Polus,1-01-55192-E,12704.0,SUR,1,1,2024-08-26
POSI,TQBR,iПозитив,2582.0,1,0.5,A,Т+: Акции и ДР - безадрес.,1,Группа Позитив ао,,FNDT,EQIN,,0.2,2594.6,SUR,2024-08-22,66000000,RU000A103X66,PJSC Positive Group,1-01-85307-H,2575.0,SUR,1,1,2024-08-26
ROSN,TQBR,Роснефть,475.8,1,0.01,A,Т+: Акции и ДР - безадрес.,2,ПАО НК Роснефть,,FNDT,EQIN,,0.05,478.8,SUR,2024-08-22,10598177817,RU000A0J2Q06,Rosneft,1-02-00122-A,477.5,SUR,1,1,2024-08-26
RTKM,TQBR,Ростел -ао,79.11,10,0.0025,A,Т+: Акции и ДР - безадрес.,2,Ростелеком (ПАО) ао.,,FNDT,EQIN,,0.01,80.7,SUR,2024-08-22,3282997929,RU0008943394,Rostelecom,1-01-00124-A,79.23,SUR,1,1,2024-08-26
RUAL,TQBR,РУСАЛ ао,31.69,10,0.656517,A,Т+: Акции и ДР - безадрес.,3,РУСАЛ ОК МКПАО ао,,FNDT,EQIN,,0.005,32.465,SUR,2024-08-22,15193014862,RU000A1025V3,RUSAL ao,1-01-16677-A,32.075,SUR,1,1,2024-08-26
SBER,TQBR,Сбербанк,261.6,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ао,,FNDT,EQIN,,0.01,264.19,SUR,2024-08-22,21586948000,RU0009029540,Sberbank,10301481B,263.51,SUR,1,1,2024-08-26
SBERP,TQBR,Сбербанк-п,261.35,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ап,,FNDT,EQIN,,0.01,264.2,SUR,2024-08-22,1000000000,RU0009029557,Sberbank (pref),20301481B,263.2,SUR,2,1,2024-08-26
SELG,TQBR,Селигдар,51.39,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Селигдар""  ао",,FNDT,EQIN,,0.01,52.22,SUR,2024-08-22,1030000000,RU000A0JPR50,Seligdar,1-01-32694-F,52.31,SUR,1,1,2024-08-26
SGZH,TQBR,Сегежа,1.88,100,0.1,A,Т+: Акции и ДР - безадрес.,3,Сегежа ао,,FNDT,EQIN,,0.001,1.925,SUR,2024-08-22,15690000000,RU000A102XG9,Segezha,1-01-87154-H,1.88,SUR,1,1,2024-08-26
SMLT,TQBR,Самолет ао,2321.5,1,25.0,A,Т+: Акции и ДР - безадрес.,1,ГК Самолет ао,,FNDT,EQIN,,0.5,2355.5,SUR,2024-08-22,61579358,RU000A0ZZG02,Samolet,1-01-16493-A,2322.0,SUR,1,1,2024-08-26
SNGS,TQBR,Сургнфгз,24.715,100,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО акции об.,,FNDT,EQIN,,0.005,25.09,SUR,2024-08-22,35725994705,RU0008926258,Surgut,1-01-00155-A,24.7,SUR,1,2,2024-08-26
SNGSP,TQBR,Сургнфгз-п,48.995,100,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО ап,,FNDT,EQIN,,0.005,49.42,SUR,2024-08-22,7701998235,RU0009029524,Surgut-pref,2-01-00155-A,48.88,SUR,2,2,2024-08-26
TATN,TQBR,Татнфт 3ао,601.7,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ао",,FNDT,EQIN,,0.1,601.8,SUR,2024-08-22,2178690700,RU0009033591,Tatneft-3,1-03-00161-A,600.0,SUR,1,1,2024-08-26
TATNP,TQBR,Татнфт 3ап,596.8,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ап 3 вып.",,FNDT,EQIN,,0.1,598.5,SUR,2024-08-22,147508500,RU0006944147,Tatneft (pref),2-03-00161-A,596.7,SUR,2,1,2024-08-26
TCSG,TQBR,ТКСХолд ао,2575.0,1,3.639384,A,Т+: Акции и ДР - безадрес.,1,ТКС Холдинг МКПАО ао,,FNDT,EQIN,,0.5,2604.0,SUR,2024-08-22,199305492,RU000A107UL4,IPJSC TCS Holding,1-01-16784-A,2571.5,SUR,1,1,2024-08-26
TRNFP,TQBR,Транснф ап,1317.0,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Транснефть ПАО акц.пр.,,FNDT,EQIN,,0.5,1325.0,SUR,2024-08-22,155487500,RU0009091573,Transneft (pref),2-01-00206-A,1312.5,SUR,2,1,2024-08-26
UPRO,TQBR,Юнипро ао,1.802,1000,0.4,A,Т+: Акции и ДР - безадрес.,3,Юнипро ПАО ао,,FNDT,EQIN,,0.001,1.816,SUR,2024-08-22,63048706145,RU000A0JNGA5,Unipro PAO ao,1-02-65104-D,1.79,SUR,1,1,2024-08-26
VKCO,TQBR,"МКПАО ""ВК""",366.0,1,0.000450595,A,Т+: Акции и ДР - безадрес.,1,Международная компания ПАО ВК,,FNDT,EQIN,,0.2,376.6,SUR,2024-08-22,227874940,RU000A106YF0,VK International Public JS Com,1-01-16753-A,370.0,SUR,1,1,2024-08-26
VTBR,TQBR,ВТБ ао,96.64,1,50.0,A,Т+: Акции и ДР - безадрес.,2,ао ПАО Банк ВТБ,,FNDT,EQIN,,0.01,98.19,SUR,2024-08-22,5369933893,RU000A0JP5V6,VTB,10401000B,97.68,SUR,1,1,2024-08-26
