SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
FLOT,TQBR,Совкомфлот,103.2,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Совкомфлот ао,,FNDT,EQIN,,0.01,103.68,SUR,2024-08-15,2374993901,RU000A0JXNU8,Sovcomflot,1-01-10613-A,103.0,SUR,1,1,2024-08-19
GAZP,TQBR,ГАЗПРОМ ао,127.6,10,5.0,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,128.41,SUR,2024-08-15,23673512900,RU0007661625,Gazprom,1-02-00028-A,127.63,SUR,1,1,2024-08-19
GLTR,TQBR,GLTR-гдр,594.7,1,0.0,A,Т+: Акции и ДР - безадрес.,2,ГДР Globaltrans Invest ORD SHS,,FNDT,EQIN,,0.05,602.1,USD,2024-08-15,0,US37949E2046,GDR Globaltrans Inves ORD SHS,,593.5,SUR,D,1,2024-08-19
GMKN,TQBR,ГМКНорНик,125.0,10,0.01,A,Т+: Акции и ДР - безадрес.,2,"ГМК ""Нор.Никель"" ПАО ао",,FNDT,EQIN,,0.02,125.32,SUR,2024-08-15,15286339700,RU0007288411,NorNickel GMK,1-01-40155-F,125.0,SUR,1,1,2024-08-19
HYDR,TQBR,РусГидро,0.5981,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,"ПАО ""РусГидро""",,FNDT,EQIN,,0.0001,0.6002,SUR,2024-08-15,444793377038,RU000A0JPKH7,RusGidro,1-01-55038-E,0.599,SUR,1,1,2024-08-19
IRAO,TQBR,ИнтерРАОао,3.844,100,2.809767,A,Т+: Акции и ДР - безадрес.,4,"""Интер РАО"" ПАО ао",,FNDT,EQIN,,0.0005,3.8535,SUR,2024-08-15,104400000000,RU000A0JPNM1,Inter RAO ao,1-04-33498-E,3.85,SUR,1,1,2024-08-19
LEAS,TQBR,Европлан,841.3,1,1.0,A,Т+: Акции и ДР - безадрес.,1,ПАО «ЛК «Европлан»,,FNDT,EQIN,,0.1,841.8,SUR,2024-08-15,120000000,RU000A0ZZFS9,Europlan,1-01-16419-A,843.0,SUR,1,1,2024-08-19
LKOH,TQBR,ЛУКОЙЛ,6347.0,1,0.025,A,Т+: Акции и ДР - безадрес.,1,НК ЛУКОЙЛ (ПАО) - ао,,FNDT,EQIN,,0.5,6368.5,SUR,2024-08-15,692865762,RU0009024277,LUKOIL,1-01-00077-A,6353.0,SUR,1,1,2024-08-19
MAGN,TQBR,ММК,49.96,10,1.0,A,Т+: Акции и ДР - безадрес.,3,"""Магнитогорск.мет.комб"" ПАО ао",,FNDT,EQIN,,0.005,49.86,SUR,2024-08-15,11174330000,RU0009084396,MMK,1-03-00078-A,49.97,SUR,1,1,2024-08-19
MGNT,TQBR,Магнит ао,5480.0,1,0.01,A,Т+: Акции и ДР - безадрес.,1,"""Магнит"" ПАО ао",,FNDT,EQIN,,0.5,5509.5,SUR,2024-08-15,101911355,RU000A0JKQU8,Magnit,1-01-60525-P,5464.5,SUR,1,3,2024-08-19
MOEX,TQBR,МосБиржа,223.79,10,1.0,A,Т+: Акции и ДР - безадрес.,2,ПАО Московская Биржа,,FNDT,EQIN,,0.01,223.41,SUR,2024-08-15,2276401458,RU000A0JR4A1,MoscowExchange,1-05-08443-H,224.19,SUR,1,1,2024-08-19
MSNG,TQBR,+МосЭнерго,2.5855,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,МосЭнерго акции обыкн.,,FNDT,EQIN,,0.0005,2.5855,SUR,2024-08-15,39749359700,RU0008958863,MosEnrg,1-01-00085-A,2.593,SUR,1,1,2024-08-19
MTLR,TQBR,Мечел ао,150.2,1,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ао,,FNDT,EQIN,,0.01,151.36,SUR,2024-08-15,416270745,RU000A0DKXV5,Mechel,1-01-55005-E,150.64,SUR,1,1,2024-08-19
MTLRP,TQBR,Мечел ап,156.75,10,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ап,,FNDT,EQIN,,0.05,156.85,SUR,2024-08-15,138756915,RU000A0JPV70,Mechel pref.,2-01-55005-E,156.7,SUR,2,1,2024-08-19
MTSS,TQBR,МТС-ао,222.6,10,0.1,A,Т+: Акции и ДР - безадрес.,2,Мобильные ТелеСистемы ПАО ао,,FNDT,EQIN,,0.05,222.5,SUR,2024-08-15,1998381575,RU0007775219,MTS,1-01-04715-A,223.0,SUR,1,1,2024-08-19
NLMK,TQBR,НЛМК ао,161.9,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""НЛМК"" ао",,FNDT,EQIN,,0.02,162.86,SUR,2024-08-15,5993227240,RU0009046452,NLMK ao,1-01-00102-A,162.3,SUR,1,1,2024-08-19
NVTK,TQBR,Новатэк ао,1029.0,1,0.1,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""НОВАТЭК"" ао",,FNDT,EQIN,,0.2,1035.0,SUR,2024-08-15,3036306000,RU000A0DKVS5,NOVATEK,1-02-00268-E,1032.0,SUR,1,1,2024-08-19
OZON,TQBR,OZON-адр,3519.5,1,0.0,A,Т+: Акции и ДР - безадрес.,1,АДР Ozon Holdings PLC ORD SHS,,FNDT,EQIN,,0.5,3553.0,USD,2024-08-15,0,US69269L1044,ADS Ozon Holdings PLC ORD SHS,,3520.0,SUR,D,1,2024-08-19
PHOR,TQBR,ФосАгро ао,5451.0,1,2.5,A,Т+: Акции и ДР - безадрес.,0,ФосАгро ПАО ао,,FNDT,EQIN,,1.0,5450.0,SUR,2024-08-15,129500000,RU000A0JRKT8,PhosAgro ao,1-02-06556-A,5447.0,SUR,1,1,2024-08-19
PIKK,TQBR,ПИК ао,772.7,1,62.5,A,Т+: Акции и ДР - безадрес.,1,ПИК СЗ (ПАО) ао,,FNDT,EQIN,,0.1,772.3,SUR,2024-08-15,660497344,RU000A0JP7J7,PIK SZ,1-02-01556-A,772.8,SUR,1,1,2024-08-19
PLZL,TQBR,Полюс,12591.5,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Полюс ПАО ао,,FNDT,EQIN,,0.5,12588.0,SUR,2024-08-15,136069400,RU000A0JNAA8,Polus,1-01-55192-E,12600.0,SUR,1,1,2024-08-19
POSI,TQBR,iПозитив,2824.2,1,0.5,A,Т+: Акции и ДР - безадрес.,1,Группа Позитив ао,,FNDT,EQIN,,0.2,2840.6,SUR,2024-08-15,66000000,RU000A103X66,PJSC Positive Group,1-01-85307-H,2819.6,SUR,1,1,2024-08-19
ROSN,TQBR,Роснефть,493.75,1,0.01,A,Т+: Акции и ДР - безадрес.,2,ПАО НК Роснефть,,FNDT,EQIN,,0.05,495.5,SUR,2024-08-15,10598177817,RU000A0J2Q06,Rosneft,1-02-00122-A,495.25,SUR,1,1,2024-08-19
RTKM,TQBR,Ростел -ао,84.37,10,0.0025,A,Т+: Акции и ДР - безадрес.,2,Ростелеком (ПАО) ао.,,FNDT,EQIN,,0.01,84.93,SUR,2024-08-15,3282997929,RU0008943394,Rostelecom,1-01-00124-A,84.64,SUR,1,1,2024-08-19
RUAL,TQBR,РУСАЛ ао,34.335,10,0.656517,A,Т+: Акции и ДР - безадрес.,3,РУСАЛ ОК МКПАО ао,,FNDT,EQIN,,0.005,34.475,SUR,2024-08-15,15193014862,RU000A1025V3,RUSAL ao,1-01-16677-A,34.34,SUR,1,1,2024-08-19
SBER,TQBR,Сбербанк,278.01,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ао,,FNDT,EQIN,,0.01,278.57,SUR,2024-08-15,21586948000,RU0009029540,Sberbank,10301481B,277.54,SUR,1,1,2024-08-19
SBERP,TQBR,Сбербанк-п,277.3,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ап,,FNDT,EQIN,,0.01,278.09,SUR,2024-08-15,1000000000,RU0009029557,Sberbank (pref),20301481B,276.8,SUR,2,1,2024-08-19
SELG,TQBR,Селигдар,54.85,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Селигдар""  ао",,FNDT,EQIN,,0.01,55.52,SUR,2024-08-15,1030000000,RU000A0JPR50,Seligdar,1-01-32694-F,55.49,SUR,1,1,2024-08-19
SGZH,TQBR,Сегежа,2.185,100,0.1,A,Т+: Акции и ДР - безадрес.,3,Сегежа ао,,FNDT,EQIN,,0.001,2.189,SUR,2024-08-15,15690000000,RU000A102XG9,Segezha,1-01-87154-H,2.186,SUR,1,1,2024-08-19
SMLT,TQBR,Самолет ао,2506.0,1,25.0,A,Т+: Акции и ДР - безадрес.,1,ГК Самолет ао,,FNDT,EQIN,,0.5,2532.0,SUR,2024-08-15,61579358,RU000A0ZZG02,Samolet,1-01-16493-A,2519.5,SUR,1,1,2024-08-19
SNGS,TQBR,Сургнфгз,26.22,100,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО акции об.,,FNDT,EQIN,,0.005,26.31,SUR,2024-08-15,35725994705,RU0008926258,Surgut,1-01-00155-A,26.125,SUR,1,2,2024-08-19
SNGSP,TQBR,Сургнфгз-п,48.76,100,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО ап,,FNDT,EQIN,,0.005,48.99,SUR,2024-08-15,7701998235,RU0009029524,Surgut-pref,2-01-00155-A,48.785,SUR,2,2,2024-08-19
TATN,TQBR,Татнфт 3ао,608.5,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ао",,FNDT,EQIN,,0.1,613.9,SUR,2024-08-15,2178690700,RU0009033591,Tatneft-3,1-03-00161-A,610.0,SUR,1,1,2024-08-19
TATNP,TQBR,Татнфт 3ап,608.3,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ап 3 вып.",,FNDT,EQIN,,0.1,613.1,SUR,2024-08-15,147508500,RU0006944147,Tatneft (pref),2-03-00161-A,609.3,SUR,2,1,2024-08-19
TCSG,TQBR,ТКСХолд ао,2567.0,1,3.639384,A,Т+: Акции и ДР - безадрес.,1,ТКС Холдинг МКПАО ао,,FNDT,EQIN,,0.5,2581.0,SUR,2024-08-15,199305492,RU000A107UL4,IPJSC TCS Holding,1-01-16784-A,2574.0,SUR,1,1,2024-08-19
TRNFP,TQBR,Транснф ап,1372.5,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Транснефть ПАО акц.пр.,,FNDT,EQIN,,0.5,1387.0,SUR,2024-08-15,155487500,RU0009091573,Transneft (pref),2-01-00206-A,1371.0,SUR,2,1,2024-08-19
UPRO,TQBR,Юнипро ао,1.869,1000,0.4,A,Т+: Акции и ДР - безадрес.,3,Юнипро ПАО ао,,FNDT,EQIN,,0.001,1.868,SUR,2024-08-15,63048706145,RU000A0JNGA5,Unipro PAO ao,1-02-65104-D,1.867,SUR,1,1,2024-08-19
VKCO,TQBR,"МКПАО ""ВК""",409.8,1,0.000450595,A,Т+: Акции и ДР - безадрес.,1,Международная компания ПАО ВК,,FNDT,EQIN,,0.2,411.4,SUR,2024-08-15,227874940,RU000A106YF0,VK International Public JS Com,1-01-16753-A,412.4,SUR,1,1,2024-08-19
VTBR,TQBR,ВТБ ао,99.28,1,50.0,A,Т+: Акции и ДР - безадрес.,2,ао ПАО Банк ВТБ,,FNDT,EQIN,,0.01,99.6,SUR,2024-08-15,5369933893,RU000A0JP5V6,VTB,10401000B,99.23,SUR,1,1,2024-08-19
