SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
PLZL,TQBR,Полюс,12368.5,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Полюс ПАО ао,,FNDT,EQIN,,0.5,12359.5,SUR,2024-08-08,136069400,RU000A0JNAA8,Polus,1-01-55192-E,12407.5,SUR,1,1,2024-08-12
POSI,TQBR,iПозитив,2908.2,1,0.5,A,Т+: Акции и ДР - безадрес.,1,Группа Позитив ао,,FNDT,EQIN,,0.2,2931.4,SUR,2024-08-08,66000000,RU000A103X66,PJSC Positive Group,1-01-85307-H,2920.0,SUR,1,1,2024-08-12
ROSN,TQBR,Роснефть,503.2,1,0.01,A,Т+: Акции и ДР - безадрес.,2,ПАО НК Роснефть,,FNDT,EQIN,,0.05,508.8,SUR,2024-08-08,10598177817,RU000A0J2Q06,Rosneft,1-02-00122-A,506.35,SUR,1,1,2024-08-12
RTKM,TQBR,Ростел -ао,80.5,10,0.0025,A,Т+: Акции и ДР - безадрес.,2,Ростелеком (ПАО) ао.,,FNDT,EQIN,,0.01,81.23,SUR,2024-08-08,3282997929,RU0008943394,Rostelecom,1-01-00124-A,80.56,SUR,1,1,2024-08-12
RUAL,TQBR,РУСАЛ ао,34.75,10,0.656517,A,Т+: Акции и ДР - безадрес.,3,РУСАЛ ОК МКПАО ао,,FNDT,EQIN,,0.005,34.655,SUR,2024-08-08,15193014862,RU000A1025V3,RUSAL ao,1-01-16677-A,34.655,SUR,1,1,2024-08-12
SBER,TQBR,Сбербанк,281.09,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ао,,FNDT,EQIN,,0.01,283.06,SUR,2024-08-08,21586948000,RU0009029540,Sberbank,10301481B,282.45,SUR,1,1,2024-08-12
SBERP,TQBR,Сбербанк-п,279.94,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ап,,FNDT,EQIN,,0.01,281.87,SUR,2024-08-08,1000000000,RU0009029557,Sberbank (pref),20301481B,282.02,SUR,2,1,2024-08-12
SELG,TQBR,Селигдар,55.71,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Селигдар""  ао",,FNDT,EQIN,,0.01,55.96,SUR,2024-08-08,1030000000,RU000A0JPR50,Seligdar,1-01-32694-F,55.79,SUR,1,1,2024-08-12
SGZH,TQBR,Сегежа,2.245,100,0.1,A,Т+: Акции и ДР - безадрес.,3,Сегежа ао,,FNDT,EQIN,,0.001,2.249,SUR,2024-08-08,15690000000,RU000A102XG9,Segezha,1-01-87154-H,2.229,SUR,1,1,2024-08-12
SMLT,TQBR,Самолет ао,2575.5,1,25.0,A,Т+: Акции и ДР - безадрес.,1,ГК Самолет ао,,FNDT,EQIN,,0.5,2602.5,SUR,2024-08-08,61579358,RU000A0ZZG02,Samolet,1-01-16493-A,2584.0,SUR,1,1,2024-08-12
SNGS,TQBR,Сургнфгз,26.165,100,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО акции об.,,FNDT,EQIN,,0.005,26.22,SUR,2024-08-08,35725994705,RU0008926258,Surgut,1-01-00155-A,26.18,SUR,1,2,2024-08-12
SNGSP,TQBR,Сургнфгз-п,46.355,100,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО ап,,FNDT,EQIN,,0.005,46.85,SUR,2024-08-08,7701998235,RU0009029524,Surgut-pref,2-01-00155-A,47.265,SUR,2,2,2024-08-12
TATN,TQBR,Татнфт 3ао,613.8,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ао",,FNDT,EQIN,,0.1,616.0,SUR,2024-08-08,2178690700,RU0009033591,Tatneft-3,1-03-00161-A,613.8,SUR,1,1,2024-08-12
TATNP,TQBR,Татнфт 3ап,600.6,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ап 3 вып.",,FNDT,EQIN,,0.1,605.9,SUR,2024-08-08,147508500,RU0006944147,Tatneft (pref),2-03-00161-A,599.1,SUR,2,1,2024-08-12
TCSG,TQBR,ТКСХолд ао,2571.0,1,3.639384,A,Т+: Акции и ДР - безадрес.,1,ТКС Холдинг МКПАО ао,,FNDT,EQIN,,0.5,2603.0,SUR,2024-08-08,199305492,RU000A107UL4,IPJSC TCS Holding,1-01-16784-A,2587.0,SUR,1,1,2024-08-12
TRNFP,TQBR,Транснф ап,1365.0,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Транснефть ПАО акц.пр.,,FNDT,EQIN,,0.5,1376.0,SUR,2024-08-08,155487500,RU0009091573,Transneft (pref),2-01-00206-A,1370.0,SUR,2,1,2024-08-12
UPRO,TQBR,Юнипро ао,1.788,1000,0.4,A,Т+: Акции и ДР - безадрес.,3,Юнипро ПАО ао,,FNDT,EQIN,,0.001,1.801,SUR,2024-08-08,63048706145,RU000A0JNGA5,Unipro PAO ao,1-02-65104-D,1.805,SUR,1,1,2024-08-12
VKCO,TQBR,"МКПАО ""ВК""",438.0,1,0.000450595,A,Т+: Акции и ДР - безадрес.,1,Международная компания ПАО ВК,,FNDT,EQIN,,0.2,446.6,SUR,2024-08-08,227874940,RU000A106YF0,VK International Public JS Com,1-01-16753-A,444.0,SUR,1,1,2024-08-12
VTBR,TQBR,ВТБ ао,96.85,1,50.0,A,Т+: Акции и ДР - безадрес.,2,ао ПАО Банк ВТБ,,FNDT,EQIN,,0.01,97.7,SUR,2024-08-08,5369933893,RU000A0JP5V6,VTB,10401000B,97.38,SUR,1,1,2024-08-12
